captured_kst,language,positive,negative,total,positive_ratio
2026-06-20 02:35:07,ukrainian,2,0,2,1.0
2026-06-20 02:35:07,german,2,0,2,1.0
2026-06-20 02:35:07,vietnamese,0,1,1,0.0
2026-06-20 02:35:07,japanese,1,0,1,1.0
2026-06-20 02:35:07,polish,1,0,1,1.0
2026-06-20 03:05:07,collected_all,293,117,410,0.7146
2026-06-20 03:05:07,steam_total,295,118,413,0.7143
2026-06-20 03:05:07,deleted_count,,,0,
2026-06-20 03:05:07,schinese,113,81,194,0.5825
2026-06-20 03:05:07,english,79,5,84,0.9405
2026-06-20 03:05:07,koreana,50,10,60,0.8333
2026-06-20 03:05:07,tchinese,21,18,39,0.5385
2026-06-20 03:05:07,russian,8,1,9,0.8889
2026-06-20 03:05:07,brazilian,3,0,3,1.0
2026-06-20 03:05:07,thai,3,0,3,1.0
2026-06-20 03:05:07,latam,3,0,3,1.0
2026-06-20 03:05:07,turkish,3,0,3,1.0
2026-06-20 03:05:07,spanish,2,1,3,0.6667
2026-06-20 03:05:07,french,2,0,2,1.0
2026-06-20 03:05:07,ukrainian,2,0,2,1.0
2026-06-20 03:05:07,german,2,0,2,1.0
2026-06-20 03:05:07,vietnamese,0,1,1,0.0
2026-06-20 03:05:07,japanese,1,0,1,1.0
2026-06-20 03:05:07,polish,1,0,1,1.0
2026-06-20 03:35:08,collected_all,293,117,410,0.7146
2026-06-20 03:35:08,steam_total,295,118,413,0.7143
2026-06-20 03:35:08,deleted_count,,,0,
2026-06-20 03:35:08,schinese,113,81,194,0.5825
2026-06-20 03:35:08,english,79,5,84,0.9405
2026-06-20 03:35:08,koreana,50,10,60,0.8333
